pathwayname,genelist,genecount
Transport of small molecules,"['A2M', 'ABCA1', 'ABCA3', 'ABCB7', 'ABCF1', 'ABCA4', 'ASIC2', 'ASIC1', 'ACO1', 'ADD1', 'ADD2', 'ADD3', 'AP2B1', 'ALB', 'ABCD1', 'ABCD2', 'SLC25A4', 'SLC25A5', 'SLC25A6', 'APOF', 'APOA1', 'APOA2', 'APOB', 'APOC1', 'AQP8', 'APOC2', 'APOC3', 'APOC4', 'APOE', 'AQP1', 'AQP2', 'AQP3', 'AQP4', 'AQP5', 'AQP6', 'AQP7', 'AQP9', 'ARL2', 'ASPH', 'ATP4B', 'ATP6V0B', 'ATP6AP1', 'ATP7A', 'ATP7B', 'AVP', 'AVPR2', 'AZGP1', 'BSG', 'CA1', 'CA2', 'CA4', 'CALM3', 'RUNX1', 'CETP', 'CFTR', 'AP2M1', 'AP2S1', 'CLCN3', 'CLCN7', 'CLIC2', 'CLTA', 'CLTC', 'SLC31A1', 'CP', 'SLC25A10', 'CTNS', 'TSC22D3', 'EIF2S1', 'EIF2S3', 'DMTN', 'FKBP1B', 'HBA2', 'HBB', 'HDLBP', 'HFE', 'IREB2', 'KCNJ11', 'LCAT', 'LCN2', 'LDLR', 'LETM1', 'LIPA', 'LIPC', 'LPL', 'MB', 'MIP', 'MTTP', 'MYO5B', 'NEDD8', 'NPC1', 'SLC11A2', 'SLC22A18', 'P4HB', 'PCSK5', 'SLC26A4', 'ABCB4', 'PIP', 'PLN', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'PEX19', 'ABCD3', 'RAF1', 'RHAG', 'RSC1A1', 'SCNN1B', 'SCNN1G', 'SEL1L', 'SKP1', 'SLC1A4', 'SLC1A5', 'SLC2A1', 'SLC2A2', 'SLC2A3', 'SLC2A4', 'SLC3A1', 'SLC3A2', 'SLC4A1', 'SLC5A2', 'SLC5A5', 'SLC6A2', 'SLC6A3', 'SLC6A6', 'SLC6A7', 'SLC6A12', 'SLC7A1', 'SLC8A3', 'SLC11A1', 'SLC12A3', 'SLC13A1', 'SLC16A1', 'SLC17A1', 'SLCO2A1', 'SLCO1A2', 'SLC22A3', 'SLC22A4', 'SLN', 'SPG7', 'SRI', 'TF', 'TFR2', 'TFRC', 'SLC35A2', 'VCP', 'VLDLR', 'SLC30A1', 'SLC30A2', 'SLC39A7', 'SEM1', 'TUSC3', 'CUBN', 'SLC7A5', 'AKAP1', 'CUL1', 'SLC43A1', 'PEX3', 'SLC4A4', 'RAB11A', 'SLC5A6', 'EIF2S2', 'SLC7A7', 'SLC7A6', 'SLC13A2', 'SLC16A3', 'SLC28A2', 'SLC28A1', 'SLC16A7', 'SLC33A1', 'ATP6V1F', 'ASIC3', 'LIPG', 'ABCG2', 'PSMF1', 'PMPCB', 'ABCG1', 'HEPH', 'PSMD6', 'ABCB6', 'ABCC9', 'PSME3', 'PSMD14', 'TRDN', 'ABCA7', 'MICU1', 'GLRX3', 'SLC35A1', 'NPC2', 'SLCO1B1', 'ERLIN1', 'YME1L1', 'SLC17A3', 'AFG3L2', 'SLC38A3', 'SLC35D2', 'SLC7A9', 'ERLIN2', 'ABCB8', 'SLC6A14', 'SLCO2B1', 'RAB11FIP2', 'SLC35D1', 'PSME4', 'PMPCA', 'AHCYL2', 'ATP13A2', 'SLC7A8', 'SLC35A3', 'ABCB10', 'ABCB9', 'ABCA5', 'CES3', 'LRRC8B', 'SLC16A8', 'ARL2BP', 'SLC7A11', 'LDLRAP1', 'ABCA12', 'FBXL5', 'SLC13A4', 'FGF21', 'SLC17A5', 'ANGPTL3', 'SLCO1B3', 'OSTM1', 'MYLIP', 'ZDHHC8', 'SLC40A1', 'STOML2', 'CUTC', 'SAR1B', 'ANGPTL4', 'PDZD11', 'SLC22A17', 'ATP6V1D', 'RHCG', 'LSR', 'ATP6V1H', 'ASIC5', 'SLC38A2', 'SLC6A20', 'PQLC2', 'MCUB', 'SLC38A4', 'ANO1', 'SLC6A15', 'LRRC8D', 'SLC29A3', 'SLC35C1', 'PARL', 'ASIC4', 'SLC30A10', 'SLC30A6', 'CAND1', 'ANGPTL8', 'APOBR', 'SLC50A1', 'ANKH', 'LRRC8A', 'SLC7A10', 'SLC2A9', 'RHBG', 'ATP13A1', 'SLC39A10', 'MCOLN1', 'MRS2', 'NCEH1', 'UNC79', 'NGB', 'SLC5A7', 'SLC28A3', 'ABCG4', 'ABCG5', 'ABCG8', 'SLC13A3', 'SLC30A5', 'MAIP1', 'CYBRD1', 'SLC8B1', 'LRRC8E', 'SLC38A1', 'AMN', 'MAGT1', 'LRRC8C', 'CREB3L3', 'SLC7A3', 'SLC35B4', 'SLC45A3', 'AQP10', 'MCU', 'SMDT1', 'SLC38A5', 'MMGT1', 'FTMT', 'SLC46A1', 'SLC2A13', 'CYGB', 'SLC25A26', 'SLC5A11', 'SLC22A12', 'APOA5', 'SLC16A10', 'SLC36A4', 'PSMB11', 'SLC25A29', 'SLC43A2', 'SLC5A10', 'SLC9B2', 'EMB', 'SLC32A1', 'SLC34A3', 'PSMA8', 'SLC2A14', 'SLC30A7', 'SLC36A2', 'SLC5A12', 'SLC5A8', 'SLC30A8', 'SLC5A9', 'SLC36A1', 'SLC29A4', 'PCSK9', 'NALCN', 'AQP11', 'SLC39A5', 'SLC24A5', 'SLC13A5', 'SLC26A11', 'UNC80', 'SLC9A9', 'SLC9C1', 'GPIHBP1', 'SLC6A19', 'SLC10A6', 'SLC6A18', 'SLCO4C1', 'AQP12A']",371
ABC-family proteins mediated transport,"['ABCA3', 'ABCB7', 'ABCF1', 'ABCA4', 'ABCD1', 'ABCD2', 'APOA1', 'CFTR', 'EIF2S1', 'EIF2S3', 'KCNJ11', 'ABCB4', 'PSMA1', 'PSMA2', 'PSMA3', 'PSMA4', 'PSMA5', 'PSMA6', 'PSMA7', 'PSMB1', 'PSMB2', 'PSMB3', 'PSMB4', 'PSMB5', 'PSMB6', 'PSMB7', 'PSMB8', 'PSMB9', 'PSMB10', 'PSMC1', 'PSMC2', 'PSMC3', 'PSMC4', 'PSMC5', 'PSMC6', 'PSMD1', 'PSMD2', 'PSMD3', 'PSMD4', 'PSMD5', 'PSMD7', 'PSMD8', 'PSMD9', 'PSMD10', 'PSMD11', 'PSMD12', 'PSMD13', 'PSME1', 'PSME2', 'PEX19', 'ABCD3', 'SEL1L', 'VCP', 'SEM1', 'PEX3', 'EIF2S2', 'PSMF1', 'ABCG1', 'PSMD6', 'ABCB6', 'ABCC9', 'PSME3', 'PSMD14', 'ABCA7', 'ERLIN1', 'ERLIN2', 'ABCB8', 'PSME4', 'ABCB10', 'ABCB9', 'ABCA5', 'ABCA12', 'ABCG4', 'ABCG5', 'ABCG8', 'PSMB11', 'PSMA8']",77
Ion channel transport,"['ASIC2', 'ASIC1', 'ASPH', 'ATP4B', 'ATP6V0B', 'ATP6AP1', 'ATP7A', 'ATP7B', 'CALM3', 'CLCN3', 'CLCN7', 'CLIC2', 'TSC22D3', 'FKBP1B', 'PLN', 'RAF1', 'SCNN1B', 'SCNN1G', 'SLN', 'SRI', 'ATP6V1F', 'ASIC3', 'TRDN', 'SLC17A3', 'ATP13A2', 'OSTM1', 'CUTC', 'PDZD11', 'ATP6V1D', 'ATP6V1H', 'ASIC5', 'ANO1', 'ASIC4', 'ATP13A1', 'UNC79', 'SLC9B2', 'NALCN', 'UNC80', 'SLC9C1']",39
Stimuli-sensing channels,"['ASIC2', 'ASIC1', 'ASPH', 'CALM3', 'CLCN3', 'CLCN7', 'CLIC2', 'TSC22D3', 'FKBP1B', 'RAF1', 'SCNN1B', 'SCNN1G', 'SRI', 'ASIC3', 'TRDN', 'SLC17A3', 'OSTM1', 'ASIC5', 'ANO1', 'ASIC4', 'UNC79', 'SLC9B2', 'NALCN', 'UNC80', 'SLC9C1']",25
Mitophagy,"['CSNK2B', 'PRKN', 'VDAC1', 'ULK1', 'SQSTM1', 'ATG12', 'ATG5', 'TOMM20', 'TOMM70', 'MFN2', 'TOMM40', 'MTERF3', 'TOMM7', 'MFN1', 'TOMM22', 'PINK1', 'FUNDC1', 'TOMM5', 'TOMM6']",19
Pink/Parkin Mediated Mitophagy,"['PRKN', 'VDAC1', 'SQSTM1', 'ATG12', 'ATG5', 'TOMM20', 'TOMM70', 'MFN2', 'TOMM40', 'MTERF3', 'TOMM7', 'MFN1', 'TOMM22', 'PINK1', 'TOMM5', 'TOMM6']",16
Receptor Mediated Mitophagy,"['CSNK2B', 'ULK1', 'ATG12', 'ATG5', 'FUNDC1']",5
Vesicle-mediated transport,"['AP1B1', 'AP2B1', 'AP1G1', 'AKT2', 'ALB', 'AMBP', 'AMPH', 'BIN1', 'APOA1', 'APOB', 'APP', 'ARCN1', 'ARF1', 'ARF6', 'ARL1', 'ARRB1', 'AVP', 'AVPR2', 'BICD1', 'BNIP1', 'VPS51', 'CALM3', 'CBL', 'CD36', 'AP2M1', 'AP2S1', 'CLTC', 'COL4A1', 'COL4A2', 'COPA', 'COPB1', 'CSNK1D', 'CUX1', 'DAB2', 'DNM2', 'TOR1A', 'EGFR', 'EPS15', 'BLOC1S1', 'GJA1', 'GJB1', 'GJB2', 'GOLGA1', 'GOLGA2', 'GOLGA4', 'GOLGB1', 'SFN', 'GPS1', 'GRIA1', 'HBA2', 'HBB', 'HIP1', 'HP', 'HPR', 'HPS1', 'HPX', 'AGFG1', 'HSPA8', 'JCHAIN', 'LDLR', 'LMAN1', 'LNPEP', 'LRP1', 'LRP2', 'RAB8A', 'MIA2', 'MSR1', 'MYH9', 'MYO1C', 'MYO5A', 'MYO6', 'NEDD8', 'NSF', 'TBC1D25', 'PAFAH1B1', 'PIK3C2A', 'PPP6C', 'PRKAA2', 'MASP1', 'RAB1A', 'RAB3A', 'RAB4A', 'RAB13', 'RAB27A', 'RAB27B', 'RAC1', 'RALA', 'VPS52', 'SEC13', 'TRAPPC2', 'SH3GL1', 'SH3GL2', 'SH3GL3', 'SLC2A4', 'STX4', 'STX5', 'STXBP3', 'VAMP2', 'VAMP7', 'SYT1', 'TJP1', 'TRAPPC10', 'TMF1', 'TSC1', 'TSC2', 'TSG101', 'YWHAB', 'YWHAE', 'YWHAG', 'YWHAH', 'YWHAZ', 'RAB7A', 'ULK1', 'COPS3', 'APOL1', 'SCARF1', 'USO1', 'VAMP8', 'VAMP4', 'STX16', 'STX10', 'MARCO', 'GBF1', 'RAB11A', 'SNAP23', 'NAPA', 'AP1G2', 'HIP1R', 'RABEP1', 'HGS', 'AP4M1', 'ZW10', 'REPS2', 'COPB2', 'COPS2', 'TRIP11', 'TRIP10', 'CD163', 'VAMP3', 'KIF3B', 'COG1', 'VPS4B', 'GOSR1', 'SEC22B', 'GOSR2', 'RAB36', 'SEC24C', 'GCC2', 'CLINT1', 'PUM1', 'USP6NL', 'RGP1', 'DNAJC6', 'C2CD5', 'TBC1D4', 'SEC16A', 'GOLGA5', 'ARPC5', 'ARPC4', 'ARPC3', 'ACTR3', 'ACTR2', 'ARPC2', 'PREB', 'OPTN', 'ARFRP1', 'CNIH1', 'PLIN3', 'STX6', 'RABEPK', 'BET1', 'TFG', 'COG5', 'SEC23A', 'ARPC1A', 'EXOC5', 'YKT6', 'AP4B1', 'RAB10', 'COPS8', 'TMED2', 'YWHAQ', 'TMED10', 'COPS6', 'COPS5', 'RAB35', 'RAB31', 'TMEM115', 'KIF3A', 'AP4S1', 'SEC23IP', 'PACSIN2', 'SNF8', 'COPE', 'EXOC3', 'COG2', 'RHOBTB3', 'AAK1', 'SEC31A', 'TRAPPC8', 'DENND3', 'KIFAP3', 'RAB3GAP1', 'RAB18', 'RAB21', 'FNBP1', 'FCHO1', 'STAB1', 'SYT11', 'TBC1D1', 'ANKRD28', 'SCFD1', 'EXOC7', 'BICD2', 'PIP5K1C', 'TMED3', 'AP4E1', 'RHOQ', 'RABGAP1', 'ARFIP2', 'RAB3GAP2', 'COG4', 'GAPVD1', 'BLOC1S6', 'TRAPPC3', 'VPS4A', 'CHMP2A', 'RAB30', 'RABGEF1', 'TOR1B', 'PACSIN3', 'EPN1', 'UBQLN2', 'PACSIN1', 'VPS36', 'TRAPPC12', 'SAR1B', 'COPS4', 'VPS28', 'BET1L', 'TRAPPC4', 'CHMP5', 'VTA1', 'VPS54', 'RAB14', 'NBAS', 'TRAPPC2L', 'STX18', 'EXOC6', 'TMED9', 'RAB39A', 'FNBP1L', 'VPS53', 'BLOC1S4', 'TBC1D2', 'STAB2', 'ARFGAP1', 'EXOC1', 'EXOC2', 'USE1', 'AGPAT3', 'RALGAPB', 'RALGAPA2', 'COG6', 'TBC1D14', 'RIC1', 'TRAPPC1', 'EPS15L1', 'EXOC4', 'NAA35', 'RINT1', 'SCOC', 'TRAPPC11', 'GORASP1', 'ACBD3', 'TBC1D15', 'ASPSCR1', 'TRAPPC6A', 'GCC1', 'CHMP6', 'TBC1D17', 'TRAPPC13', 'COLEC12', 'TXNDC5', 'RAB1B', 'RAB33B', 'COG3', 'TRAPPC9', 'TBC1D10A', 'DTNBP1', 'SGIP1', 'VPS25', 'NAA38', 'COG8', 'SYTL1', 'REPS1', 'HPS4', 'SEC16B', 'SYT8', 'SYS1', 'MCFD2', 'CHMP7', 'COG7', 'FCHO2', 'TRAPPC6B', 'NAA30', 'TBC1D16', 'TRAPPC5', 'SYT2', 'TBC1D20', 'VTI1A', 'SYT9', 'EXOC8', 'SH3D19', 'RAB12', 'SSC5D', 'SCARA5', 'RAB43', 'RAB41', 'MIA3', 'BLOC1S3', 'TBC1D3', 'TMED7-TICAM2', 'RNF103-CHMP3', 'TBC1D7-LOC100130357']",325
Membrane Trafficking,"['AP1B1', 'AP2B1', 'AP1G1', 'AKT2', 'AMPH', 'BIN1', 'APOB', 'APP', 'ARCN1', 'ARF1', 'ARF6', 'ARL1', 'ARRB1', 'AVP', 'AVPR2', 'BICD1', 'BNIP1', 'VPS51', 'CALM3', 'CBL', 'AP2M1', 'AP2S1', 'CLTC', 'COPA', 'COPB1', 'CSNK1D', 'CUX1', 'DAB2', 'DNM2', 'TOR1A', 'EGFR', 'EPS15', 'BLOC1S1', 'GJA1', 'GJB1', 'GJB2', 'GOLGA1', 'GOLGA2', 'GOLGA4', 'GOLGB1', 'SFN', 'GPS1', 'GRIA1', 'HIP1', 'HPS1', 'AGFG1', 'HSPA8', 'LDLR', 'LMAN1', 'LNPEP', 'LRP2', 'RAB8A', 'MIA2', 'MYH9', 'MYO1C', 'MYO5A', 'MYO6', 'NEDD8', 'NSF', 'TBC1D25', 'PAFAH1B1', 'PIK3C2A', 'PPP6C', 'PRKAA2', 'RAB1A', 'RAB3A', 'RAB4A', 'RAB13', 'RAB27A', 'RAB27B', 'RAC1', 'RALA', 'VPS52', 'SEC13', 'TRAPPC2', 'SH3GL1', 'SH3GL2', 'SH3GL3', 'SLC2A4', 'STX4', 'STX5', 'STXBP3', 'VAMP2', 'VAMP7', 'SYT1', 'TJP1', 'TRAPPC10', 'TMF1', 'TSC1', 'TSC2', 'TSG101', 'YWHAB', 'YWHAE', 'YWHAG', 'YWHAH', 'YWHAZ', 'RAB7A', 'ULK1', 'COPS3', 'USO1', 'VAMP8', 'VAMP4', 'STX16', 'STX10', 'GBF1', 'RAB11A', 'SNAP23', 'NAPA', 'AP1G2', 'HIP1R', 'RABEP1', 'HGS', 'AP4M1', 'ZW10', 'REPS2', 'COPB2', 'COPS2', 'TRIP11', 'TRIP10', 'VAMP3', 'KIF3B', 'COG1', 'VPS4B', 'GOSR1', 'SEC22B', 'GOSR2', 'RAB36', 'SEC24C', 'GCC2', 'CLINT1', 'PUM1', 'USP6NL', 'RGP1', 'DNAJC6', 'C2CD5', 'TBC1D4', 'SEC16A', 'GOLGA5', 'ARPC5', 'ARPC4', 'ARPC3', 'ACTR3', 'ACTR2', 'ARPC2', 'PREB', 'OPTN', 'ARFRP1', 'CNIH1', 'PLIN3', 'STX6', 'RABEPK', 'BET1', 'TFG', 'COG5', 'SEC23A', 'ARPC1A', 'EXOC5', 'YKT6', 'AP4B1', 'RAB10', 'COPS8', 'TMED2', 'YWHAQ', 'TMED10', 'COPS6', 'COPS5', 'RAB35', 'RAB31', 'TMEM115', 'KIF3A', 'AP4S1', 'SEC23IP', 'PACSIN2', 'SNF8', 'COPE', 'EXOC3', 'COG2', 'RHOBTB3', 'AAK1', 'SEC31A', 'TRAPPC8', 'DENND3', 'KIFAP3', 'RAB3GAP1', 'RAB18', 'RAB21', 'FNBP1', 'FCHO1', 'SYT11', 'TBC1D1', 'ANKRD28', 'SCFD1', 'EXOC7', 'BICD2', 'PIP5K1C', 'TMED3', 'AP4E1', 'RHOQ', 'RABGAP1', 'ARFIP2', 'RAB3GAP2', 'COG4', 'GAPVD1', 'BLOC1S6', 'TRAPPC3', 'VPS4A', 'CHMP2A', 'RAB30', 'RABGEF1', 'TOR1B', 'PACSIN3', 'EPN1', 'UBQLN2', 'PACSIN1', 'VPS36', 'TRAPPC12', 'SAR1B', 'COPS4', 'VPS28', 'BET1L', 'TRAPPC4', 'CHMP5', 'VTA1', 'VPS54', 'RAB14', 'NBAS', 'TRAPPC2L', 'STX18', 'EXOC6', 'TMED9', 'RAB39A', 'FNBP1L', 'VPS53', 'BLOC1S4', 'TBC1D2', 'ARFGAP1', 'EXOC1', 'EXOC2', 'USE1', 'AGPAT3', 'RALGAPB', 'RALGAPA2', 'COG6', 'TBC1D14', 'RIC1', 'TRAPPC1', 'EPS15L1', 'EXOC4', 'NAA35', 'RINT1', 'SCOC', 'TRAPPC11', 'GORASP1', 'ACBD3', 'TBC1D15', 'ASPSCR1', 'TRAPPC6A', 'GCC1', 'CHMP6', 'TBC1D17', 'TRAPPC13', 'TXNDC5', 'RAB1B', 'RAB33B', 'COG3', 'TRAPPC9', 'TBC1D10A', 'DTNBP1', 'SGIP1', 'VPS25', 'NAA38', 'COG8', 'SYTL1', 'REPS1', 'HPS4', 'SEC16B', 'SYT8', 'SYS1', 'MCFD2', 'CHMP7', 'COG7', 'FCHO2', 'TRAPPC6B', 'NAA30', 'TBC1D16', 'TRAPPC5', 'SYT2', 'TBC1D20', 'VTI1A', 'SYT9', 'EXOC8', 'SH3D19', 'RAB12', 'RAB43', 'RAB41', 'MIA3', 'BLOC1S3', 'TBC1D3', 'TMED7-TICAM2', 'RNF103-CHMP3', 'TBC1D7-LOC100130357']",301
Rab regulation of trafficking,"['ARF6', 'HPS1', 'TBC1D25', 'RAB1A', 'RAB3A', 'RAB4A', 'RAB13', 'RAB27A', 'RAB27B', 'TRAPPC2', 'TRAPPC10', 'TSC1', 'TSC2', 'YWHAE', 'RAB7A', 'ULK1', 'RABEP1', 'RGP1', 'OPTN', 'RAB10', 'RAB35', 'RAB31', 'TRAPPC8', 'DENND3', 'RAB3GAP1', 'RAB18', 'RAB21', 'RABGAP1', 'RAB3GAP2', 'TRAPPC3', 'RABGEF1', 'TRAPPC12', 'TRAPPC4', 'RAB14', 'TRAPPC2L', 'TBC1D2', 'TBC1D14', 'RIC1', 'TRAPPC1', 'TRAPPC11', 'TBC1D15', 'TRAPPC6A', 'TBC1D17', 'TRAPPC13', 'RAB1B', 'TRAPPC9', 'TBC1D10A', 'SYTL1', 'HPS4', 'TRAPPC6B', 'TBC1D16', 'TRAPPC5', 'TBC1D20', 'RAB12', 'TBC1D3', 'TBC1D7-LOC100130357']",56
RAB GEFs exchange GTP for GDP on RABs,"['HPS1', 'RAB1A', 'RAB3A', 'RAB13', 'RAB27A', 'RAB27B', 'TRAPPC2', 'TRAPPC10', 'YWHAE', 'ULK1', 'RGP1', 'RAB10', 'RAB35', 'RAB31', 'TRAPPC8', 'DENND3', 'RAB3GAP1', 'RAB18', 'RAB21', 'RAB3GAP2', 'TRAPPC3', 'TRAPPC12', 'TRAPPC4', 'RAB14', 'TRAPPC2L', 'RIC1', 'TRAPPC1', 'TRAPPC11', 'TRAPPC6A', 'TRAPPC13', 'RAB1B', 'TRAPPC9', 'HPS4', 'TRAPPC6B', 'TRAPPC5', 'RAB12']",36
TBC/RABGAPs,"['ARF6', 'TBC1D25', 'RAB4A', 'TSC1', 'TSC2', 'RAB7A', 'ULK1', 'RABEP1', 'OPTN', 'RAB35', 'RABGAP1', 'RABGEF1', 'TBC1D2', 'TBC1D14', 'TBC1D15', 'TBC1D17', 'TBC1D10A', 'SYTL1', 'TBC1D16', 'TBC1D20', 'TBC1D3', 'TBC1D7-LOC100130357']",22
