pathwayid,name,pwtype,category,url,source,srcid,externalid,extid,taxid,taxname,core,cids,geneids,protacxns,dois,ecs,annotation,annotscore
1360348,Linoleic acid metabolism known to be affected by coronavirus infection,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4853,WikiPathways,5,WP4853,WP4853,9606,Homo sapiens (human),1,"985,86554,444899,445639,5280450,5280581,5280933",NULL,NULL,10.3390/v11010073,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",40000
1360351,Autophagy during CoV infection,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4862,WikiPathways,5,WP4862,WP4862,9606,Homo sapiens (human),1,NULL,"2475,5289,8408,8678,9140,9706,9776,9821,10533,30849,53349,55062,83734,84557",NULL,10.1146/annurev-micro-020518-115759,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",40000
1360352,Host-pathogen interaction of human corona viruses - autophagy,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4863,WikiPathways,5,WP4863,WP4863,9606,Homo sapiens (human),1,NULL,"2475,5289,8408,8678,9140,9706,9776,9821,10533,30849,53349,55062,64422,83734,84557,115201",NULL,10.1146/annurev-micro-020518-115759,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",40000
1360353,Host-pathogen interaction of human corona viruses - apoptosis,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4864,WikiPathways,5,WP4864,WP4864,9606,Homo sapiens (human),1,NULL,"207,317,356,572,581,596,598,637,836,840,841,842,1432,4170,5600,5603,6300,7124,8772,10018,27113",NULL,10.1146/annurev-micro-020518-115759,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",40000
1360355,Host-pathogen interaction of human corona viruses - ER stress,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4869,WikiPathways,5,WP4869,WP4869,9606,Homo sapiens (human),1,NULL,"468,1050,1051,1052,1053,1054,1649,2081,4659,4660,5499,5500,5501,5502,5504,5506,5507,5509,5510,5511,5514,5599,5601,5602,5610,6992,7494,8720,9451,10153,22926,23368,23645,26051,26472,51360,54776,54866,55607,79660,81706,83939,84152,84687,84919,84988,89801,90673,94274,151242,648791,1489671",P59637,10.1146/annurev-micro-020518-115759,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, UniProt]",40000
1360357,Host-pathogen interaction of human corona viruses - MAPK signaling,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4877,WikiPathways,5,WP4877,WP4877,9606,Homo sapiens (human),1,NULL,"596,684,1386,1432,1649,1977,2353,3429,3726,4216,5594,5595,5599,5602,5608,5609,5894,6195,6196,6197,6300,6416",NULL,NULL,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, UniProt]",40000
1360358,Host-pathogen interaction of human corona viruses - Interferon induction,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4880,WikiPathways,5,WP4880,WP4880,9606,Homo sapiens (human),1,NULL,"1147,1432,2353,3454,3455,3551,3661,3716,3725,4615,4790,4792,4938,4939,4940,5599,5610,6772,6773,6885,7187,7189,7297,8517,8737,9641,10379,23586,29110,51284,57506,64135,148022",NULL,10.1017/s1462399411002031,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",40000
1360362,Metabolism of Angiotensinogen to Angiotensins,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP2729,WikiPathways,5,WP2729,WP2729,9606,Homo sapiens (human),1,"312,962,32051,1549073,5493444","183,290,1215,1359,1360,1361,1509,1511,1522,1636,2028,2999,4311,5972,10159,59272,84909","O75787,P00797,P01019,P07339,P08311,P08473,P12821,P15086,P15088,P15144,P20718,P23946,Q07075,Q8N6M6,Q96IY4,Q9BYF1,Q9UBR2",10.1016/j.jim.2005.11.002,"3.2.1.-,3.4.11.-,3.4.11.2,3.4.11.7,3.4.15.1,3.4.17.-,3.4.17.1,3.4.17.2,3.4.17.20,3.4.17.23,3.4.18.1,3.4.21.-,3.4.21.20,3.4.21.39,3.4.23.15,3.4.23.5,3.4.24.11","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, DrugBank, Guide to PHARMACOLOGY, PDB, Protein Data Bank, UniProt]",40000
1360363,LDLRAD4 and what we know about it,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4904,WikiPathways,5,WP4904,WP4904,9606,Homo sapiens (human),1,NULL,"753,4087,4734,7046,7048,55054,56937",NULL,10.1038/s41525-019-0098-3,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",40000
1360364,SARS coronavirus and innate immunity,organism_specific,NULL,https://www.wikipathways.org/index.php/Pathway:WP4912,WikiPathways,5,WP4912,WP4912,9606,Homo sapiens (human),1,NULL,"3454,3455,3456,3661,6772,6773,7187,7297,10379,23586,57506,59272,64135,148022",NULL,10.1016/j.virusres.2007.03.015,NULL,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per Guide to PHARMACOLOGY, UniProt, WikiPathways]",30000
3,citrulline-nitric oxide cycle,organism_specific,pathway,https://biocyc.org/HUMAN/NEW-IMAGE?object=PWY-4983,BioCyc,1,HUMAN_PWY-4983,PWY-4983,9606,Homo sapiens (human),1,"271,888,962,977,1023,1038,1125,145068,1549073,5460294,5460307,5461108,6992004,6992098,15938965,15938972,15983949,27735034,28360916,44229199,46878376,46906035,53356659","435,445,4842,4843,4846","P00966,P04424,P29474,P29475,P35228",NULL,"1.14.13.39,4.3.2.1,6.3.4.5","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
10572,Transport of small molecules,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-382551,Reactome,3,R-HSA-382551,R-HSA-382551,9606,Homo sapiens (human),1,"223,271,280,281,288,305,311,312,681,753,769,813,888,892,923,962,977,1023,1038,1061,1117,1175,1176,3469,5202,5884,5886,5997,6030,6076,6131,10214,16231,17473,19235,23978,27099,27284,27854,28486,29936,30165,32051,34756,61549,66868,67678,79025,87642,104815,107689,123953,159325,160419,164533,222656,439155,439197,439260,440071,444493,445675,448209,638015,644109,1549073,2724385,3681305,5257127,5280353,5318532,5351619,5460299,5461108,6419722,6857581,6971019,6971047,6992086,6992099,7045798,7058055,7311724,9548817,15","2,19,21,22,23,24,40,41,48,118,119,120,163,213,215,225,291,292,293,319,335,336,338,341,343,344,345,346,348,358,359,360,361,362,363,364,366,402,444,496,533,537,538,540,551,554,563,682,759,760,762,808,861,1071,1080,1173,1175,1182,1186,1193,1211,1213,1317,1356,1468,1497,1831,1965,1968,2039,2281,3040,3043,3069,3077,3658,3767,3931,3934,3949,3954,3988,3990,4023,4151,4284,4547,4645,4738,4864,4891,5002,5034,5125,5172,5244,5304,5350,5682,5683,5684,5685,5686,5687,5688,5689,5690,5691,5692,5693,5694,5695,5696,5698,5699,","A0PJK1,A5LHX3,O00231,O00232,O00233,O00337,O00400,O00476,O00487,O00631,O14520,O14818,O15118,O15247,O15427,O15431,O43242,O43315,O43511,O43868,O60494,O60669,O60706,O60931,O75027,O75387,O75439,O75477,O75751,O75832,O76003,O94778,O94905,O94956,O95202,O95477,O95907,P00450,P00915,P00918,P01023,P01130,P01185,P02144,P02647,P02649,P02652,P02654,P02655,P02656,P02730,P02768,P02786,P02787,P04049,P04114,P04180,P05141,P05198,P06727,P06858,P07237,P08195,P08519,P09496,P0DP23,P11150,P11166,P11168,P11169,P11597,P12235,P12236,P",NULL,"1.-.-.-,1.14.11.16,1.16.3.1,2.3.1.225,2.3.1.43,2.3.2.27,2.7.11.1,3.1.1.-,3.1.1.1,3.1.1.13,3.1.1.3,3.1.1.34,3.3.1.1,3.4.19.-,3.4.21.-,3.4.21.105,3.4.24.-,3.4.24.64,3.4.25.1,3.6.4.6,3.6.5.3,4.2.1.1,4.2.1.3,5.2.1.8,5.3.4.1,5.6.1.6,7.2.2.-,7.2.2.8,7.6.2.-,7.6.2.1,7.6.2.2,7.6.2.4","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, PDB, Protein Data Bank, DrugBank]",20000
10573,ABC-family proteins mediated transport,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-382556,Reactome,3,R-HSA-382556,R-HSA-382556,9606,Homo sapiens (human),1,"312,769,813,962,1061,5997,66868,638015,5461108,7058055,53356659","21,22,23,24,215,225,335,1080,1965,1968,3767,5244,5682,5683,5684,5685,5686,5687,5688,5689,5690,5691,5692,5693,5694,5695,5696,5698,5699,5700,5701,5702,5704,5705,5706,5707,5708,5709,5710,5711,5713,5714,5715,5716,5717,5718,5719,5720,5721,5824,5825,6400,7415,7979,8504,8894,9491,9619,9861,10058,10060,10197,10213,10347,10613,11160,11194,23198,23456,23457,23461,26154,64137,64240,64241,122706,143471","A5LHX3,O00231,O00232,O00233,O00487,O14818,O43242,O60706,O75027,O75477,O75832,O94905,P02647,P05198,P13569,P17980,P20042,P20618,P21439,P25786,P25787,P25788,P25789,P28062,P28065,P28066,P28070,P28072,P28074,P28288,P33897,P35998,P40306,P40855,P41091,P43686,P45844,P48556,P49720,P49721,P51665,P55036,P55072,P56589,P60896,P60900,P61289,P62191,P62195,P62333,P78363,Q06323,Q13200,Q14654,Q14997,Q15008,Q16401,Q86UK0,Q8IZY2,Q8NE71,Q8TAA3,Q8WWZ7,Q92530,Q99436,Q99460,Q99758,Q9H172,Q9H221,Q9H222,Q9NP58,Q9NP78,Q9NRK6,Q9NUT2,Q",10.1038/nrm2646|10.1101/gr.184901|10.1146/annurev.biochem.71.102301.093055,"3.4.19.-,3.4.25.1,3.6.4.6,3.6.5.3,5.6.1.6,7.6.2.-,7.6.2.1,7.6.2.4","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways, DrugBank]",20000
10614,Ion channel transport,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-983712,Reactome,3,R-HSA-983712,R-HSA-983712,9606,Homo sapiens (human),1,"271,312,769,813,888,923,962,1038,1061,1175,16231,27099,27854,104815,123953,5461108,7058055","40,41,444,496,533,537,538,540,808,1182,1186,1193,1831,2281,5350,5894,6338,6340,6588,6717,9296,9311,10345,10786,23400,28962,51076,51248,51382,51606,51802,55107,55515,57130,57578,133308,259232,285175,285335","O00476,O00631,O15247,P04049,P0DP23,P26678,P30626,P35670,P51164,P51168,P51170,P51790,P51798,P68106,P78348,Q04656,Q12797,Q13061,Q15904,Q16515,Q16864,Q4G0N8,Q5EBL8,Q5XXA6,Q86UD5,Q86WC4,Q8IZF0,Q8N2C7,Q96FT7,Q99437,Q99576,Q9H313-3,Q9HD20,Q9NQ11,Q9NTM9,Q9NY37,Q9P2D8,Q9UHC3,Q9UI12,Q9Y5K8",10.1038/nrm1354,"1.14.11.16,2.7.11.1,5.2.1.8,7.2.2.-,7.2.2.8","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
10616,Stimuli-sensing channels,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-2672351,Reactome,3,R-HSA-2672351,R-HSA-2672351,9606,Homo sapiens (human),1,"271,312,769,923,1038,1061,1175,16231,123953,5461108,7058055","40,41,444,808,1182,1186,1193,1831,2281,5894,6338,6340,6717,9311,10345,10786,28962,51802,55107,55515,57578,133308,259232,285175,285335","O00476,O15247,P04049,P0DP23,P30626,P51168,P51170,P51790,P51798,P68106,P78348,Q12797,Q13061,Q16515,Q4G0N8,Q5XXA6,Q86UD5,Q86WC4,Q8IZF0,Q8N2C7,Q96FT7,Q99576,Q9H313-3,Q9NY37,Q9P2D8,Q9UHC3",10.1007/s12035-011-8204-2|10.1016/j.ceca.2009.09.003|10.1016/j.pharmthera.2010.08.006|10.1073/pnas.052692999|10.1074/jbc.m306150200|10.1111/j.1440-1681.2008.05094.x|10.1113/expphysiol.2005.031773|10.1126/stke.2722005re3|10.1146/annurev.physiol.68.040204.100431|10.1152/ajpcell.00019.2012|10.1152/physrev.00022.2007|10.3389/fphys.2012.00324,"1.14.11.16,2.7.11.1,5.2.1.8","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
10641,Mitophagy,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-5205647,Reactome,3,R-HSA-5205647,R-HSA-5205647,9606,Homo sapiens (human),1,"5461108,7058055","1460,5071,7416,8408,8878,9140,9474,9804,9868,9927,10452,51001,54543,55669,56993,65018,139341,401505,100188893","O60260,O75385,O94817,O94826,O95140,O96008,P12931-1,P21796,P67870,Q13501,Q15388,Q8IVP5,Q8IWA4,Q8N4H5,Q96B49,Q96E29,Q96HS1-2,Q9BXM7,Q9H1Y0,Q9NS69,Q9P0U1",10.1038/nrm3028,"2.3.2.31,2.7.11.1,3.6.5.-","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
10642,Pink/Parkin Mediated Mitophagy,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-5205685,Reactome,3,R-HSA-5205685,R-HSA-5205685,9606,Homo sapiens (human),1,NULL,"5071,7416,8878,9140,9474,9804,9868,9927,10452,51001,54543,55669,56993,65018,401505,100188893","O60260,O94817,O94826,O95140,O96008,P21796,Q13501,Q15388,Q8IWA4,Q8N4H5,Q96B49,Q96E29,Q9BXM7,Q9H1Y0,Q9NS69,Q9P0U1",10.1038/nrm3028,"2.3.2.31,2.7.11.1,3.6.5.-","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
10643,Receptor Mediated Mitophagy,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-8934903,Reactome,3,R-HSA-8934903,R-HSA-8934903,9606,Homo sapiens (human),1,"5461108,7058055","1460,8408,9140,9474,139341","O75385,O94817,P12931-1,P67870,Q8IVP5,Q96HS1-2,Q9H1Y0",10.1002/embr.201438501|10.1016/j.bbamcr.2015.03.013|10.1016/j.yexcr.2013.03.034|10.1038/embor.2009.256|10.1038/nature07006|10.1038/ncb2422|10.4161/auto.5552,2.7.11.1,"COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
10644,Vesicle-mediated transport,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-5653656,Reactome,3,R-HSA-5653656,R-HSA-5653656,9606,Homo sapiens (human),1,"271,962,1061,4973,5997,6083,87642,444493,5461108,5497113,7058055,9548817,135398619,135398633","162,163,164,208,213,259,273,274,335,338,351,372,375,382,400,408,551,554,636,662,738,808,867,948,1173,1175,1213,1282,1284,1314,1315,1453,1523,1601,1785,1861,1956,2060,2647,2697,2705,2706,2800,2801,2803,2804,2810,2873,2890,3040,3043,3092,3240,3250,3257,3263,3267,3312,3512,3949,3998,4012,4035,4036,4218,4253,4481,4627,4641,4644,4646,4738,4905,4943,5048,5286,5537,5563,5648,5861,5864,5867,5872,5873,5874,5879,5898,6293,6396,6399,6455,6456,6457,6517,6810,6811,6814,6844,6845,6857,7082,7109,7110,7248,7249,7251,7529,7","A1L4H1,A2RRP1,A2RUS2,A5PLN9,O00159,O00161,O00186,O00189,O00194,O00291,O00443,O00471,O00499,O00743,O14526,O14579,O14653,O14656,O14657,O14662,O14791,O14964,O15027,O15066,O15084,O15144,O15145,O15155,O15498,O15511,O43264,O43617,O43633,O43747,O43752,O60331,O60343,O60499,O60645,O60664,O60763,O75061,O75146,O75351,O75379,O75385,O75396,O75843,O75865,O94955,O94979,O95249,O95406,O95755,P00533,P00738,P00739,P01130,P01185,P01591,P02462,P02647,P02760,P02768,P02790,P04114,P05067,P08034,P08572,P09496-1,P0DI81,P0DP23,P11142",NULL,"2.3.1.-,2.3.1.256,2.3.1.51,2.3.2.27,2.7.1.154,2.7.1.68,2.7.10.1,2.7.11.1,2.7.11.26,2.7.11.27,2.7.11.31,2.7.7.48,3.1.3.16,3.1.3.48,3.4.-.-,3.4.11.3,3.4.21.-,3.4.21.98,3.4.22.-,3.6.1.-,3.6.1.15,3.6.4.-,3.6.4.13,3.6.4.6,3.6.5.2,3.6.5.5","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
10645,Membrane Trafficking,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-199991,Reactome,3,R-HSA-199991,R-HSA-199991,9606,Homo sapiens (human),1,"271,962,1061,5997,6083,87642,444493,5461108,5497113,7058055,135398619,135398633","162,163,164,208,273,274,338,351,372,375,382,400,408,551,554,636,662,738,808,867,1173,1175,1213,1314,1315,1453,1523,1601,1785,1861,1956,2060,2647,2697,2705,2706,2800,2801,2803,2804,2810,2873,2890,3092,3257,3267,3312,3949,3998,4012,4036,4218,4253,4627,4641,4644,4646,4738,4905,4943,5048,5286,5537,5563,5861,5864,5867,5872,5873,5874,5879,5898,6293,6396,6399,6455,6456,6457,6517,6810,6811,6814,6844,6845,6857,7082,7109,7110,7248,7249,7251,7529,7531,7532,7533,7534,7879,8408,8533,8615,8673,8674,8675,8677,8729,8766,87","A2RRP1,A2RUS2,A5PLN9,O00159,O00161,O00186,O00189,O00194,O00291,O00443,O00471,O00499,O00743,O14526,O14579,O14653,O14656,O14657,O14662,O14964,O15027,O15066,O15084,O15144,O15145,O15155,O15498,O15511,O43264,O43617,O43633,O43747,O43752,O60331,O60343,O60499,O60645,O60664,O60763,O75061,O75146,O75351,O75379,O75385,O75396,O75843,O75865,O94955,O94979,O95249,O95406,O95755,P00533,P01130,P01185,P04114,P05067,P08034,P09496-1,P0DI81,P0DP23,P11142,P11233,P12931-2,P14672,P17081,P17302,P20336,P20338,P21579,P22681,P27348,P279",10.1146/annurev.cellbio.16.1.557,"2.3.1.-,2.3.1.256,2.3.1.51,2.3.2.27,2.7.1.154,2.7.1.68,2.7.10.1,2.7.11.1,2.7.11.26,2.7.11.27,2.7.11.31,2.7.7.48,3.1.3.16,3.1.3.48,3.4.-.-,3.4.11.3,3.4.21.98,3.4.22.-,3.6.1.-,3.6.1.15,3.6.4.-,3.6.4.13,3.6.4.6,3.6.5.2,3.6.5.5","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
10675,Rab regulation of trafficking,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-9007101,Reactome,3,R-HSA-9007101,R-HSA-9007101,9606,Homo sapiens (human),1,"962,1061,5461108,7058055,135398619,135398633","382,3257,4943,5861,5864,5867,5872,5873,5874,6399,7109,7248,7249,7531,7879,8408,9135,9827,10133,10890,11021,11031,22878,22898,22930,22931,23011,23637,25782,27095,27342,51112,51399,51552,51693,55357,57533,57589,58485,60684,64786,79090,79735,80006,81876,83696,83874,84958,89781,122553,125058,126003,128637,201475,729873,107080638","A2RUS2,A5PLN9,O00194,O43617,O75385,O75865,P0DI81,P20336,P20338,P27958,P48553,P49815,P51149,P51153,P51159,P61026,P61106,P62258,P62330,P62820,Q13636,Q15042,Q15276,Q15286,Q3MII6,Q4ADV7,Q6IQ22,Q7Z392,Q86SZ2,Q8IUR0,Q8IYJ3,Q8IZP1,Q8TBP0,Q8TC07,Q8WVT3,Q8WXG6-3,Q92546,Q92574,Q92902,Q96BZ9,Q96CV9,Q96Q05,Q9BXI6,Q9BYX2,Q9H0U4,Q9H2M9,Q9HA65,Q9NP72,Q9NQG7,Q9P0N9,Q9P2M4,Q9UJ41,Q9UL25,Q9UL33,Q9Y296,Q9Y2L5,Q9Y3P9,Q9Y5R8",10.1016/j.ceb.2010.04.007|10.1038/nrm2728,"2.7.11.1,2.7.7.48,3.4.21.98,3.4.22.-,3.6.1.15,3.6.4.13,3.6.5.2","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
10676,RAB GEFs exchange GTP for GDP on RABs,organism_specific,pathway,https://reactome.org/content/detail/R-HSA-8876198,Reactome,3,R-HSA-8876198,R-HSA-8876198,9606,Homo sapiens (human),1,"5461108,7058055,135398619,135398633","3257,5861,5864,5872,5873,5874,6399,7109,7531,8408,9827,10890,11021,11031,22878,22898,22930,22931,23011,25782,27095,51112,51399,51552,51693,57589,58485,60684,79090,80006,81876,83696,89781,122553,126003,201475","A2RUS2,A5PLN9,O00194,O43617,O75385,O75865,P0DI81,P20336,P48553,P51153,P51159,P61026,P61106,P62258,P62820,Q13636,Q15042,Q15286,Q4ADV7,Q6IQ22,Q7Z392,Q86SZ2,Q8IUR0,Q8WVT3,Q8WXG6-3,Q92546,Q92902,Q96Q05,Q9H0U4,Q9H2M9,Q9NP72,Q9NQG7,Q9UL25,Q9UL33,Q9Y296,Q9Y2L5,Q9Y5R8",10.1016/j.ceb.2010.04.007|10.1021/cb500791f|10.1038/353769a0|10.1038/369076a0|10.1038/nature02057|10.1038/nature04847|10.1038/nchembio.386|10.1038/nrm2728|10.1038/nrm3267|10.1042/bj20080662|10.1042/bsr20100112|10.1073/pnas.1307655110|10.1073/pnas.91.25.11963|10.1074/jbc.271.24.14398|10.1074/jbc.271.7.3692|10.1074/jbc.r110.217067|10.1101/cshperspect.a022616|10.1152/physrev.00003.2012|10.1247/csf.16008|10.3109/09687688.2012.693211,"2.7.11.1,3.6.5.2","COVID-19, COVID19, Coronavirus, Corona-virus, SARS, SARS2, SARS-CoV, SARS-CoV-2 [as per WikiPathways]",20000
